Campus Name,CCSF Entity,Lower Grade,Upper Grade,Grade Range,Category,Map Label,Lower Age,Upper Age,General Type,CDS Code,Campus Address,Supervisor District,County FIPS,County Name,Location 1,Neighborhoods (old),Zip Codes,Fire Prevention Districts,Police Districts,Supervisor Districts,,FixedLocations
Alt School - Dogpatch 2,Private,-1,2,TK-2,Independent / Private,IND203,4,7,IND,,"610 20TH ST, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.760662, -122.387962)",29,"28,856",10,3,8,,"CA (37.760662, -122.387962)"
Immaculate Conception Academy,Private,9,12,12-Sep,Independent / Private,IND252,14,17,IND,3.87E+13,"3625 24TH ST, SAN FRANCISCO, CA 94110",8,6075,SAN FRANCISCO,"CA
(37.751667, -122.423416)",19,"28,859",2,4,5,,"CA (37.751667, -122.423416)"
C5 Childrens School - State Building Center,Private,-2,-1,PK,Independent / Private,CDC009,3,4,CDC,384002299,"455 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.78104, -122.417915)",36,"28,852",7,9,9,,"CA (37.78104, -122.417915)"
Lowell High School,SFUSD,9,12,12-Sep,USD Grades 9-12,PS069,14,17,PS,3.87E+13,"1101 EUCALYPTUS DR, San Francisco, CA 94132",7,6075,SAN FRANCISCO,"CA
(37.729435, -122.483055)",14,64,1,8,4,,"CA (37.729435, -122.483055)"
Alt School - North Beach,Private,-1,8,TK-8,Independent / Private,IND205,4,13,IND,,"838 KEARNY STREET, SAN FRANCISCO, CA 94108",3,6075,SAN FRANCISCO,"CA
(37.795811, -122.404892)",4,"28,857",3,1,10,,"CA (37.795811, -122.404892)"
Wu Yee Child Development Center - Cadillac,Private,-2,-1,PK,Independent / Private,CDC157,3,4,CDC,384002512,"398 EDDY ST, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.784054, -122.41394)",36,"28,852",7,10,9,,"CA (37.784054, -122.41394)"
"Lilienthal, Claire Lilienthal (3-8 Winfield Scott Campus)",SFUSD,0,8,K-8,USD Grades K-8,PS065,5,13,PS,3.87E+13,"3630 DIVISADERO ST, San Francisco, CA 94123",2,6075,SAN FRANCISCO,"CA
(37.80336, -122.443237)",17,57,13,9,1,,"CA (37.80336, -122.443237)"
Lafayette Elementary School,SFUSD,-2,5,PK-5,USD PreK-5                                   ,PS058,3,10,PS,3.87E+13,"4545 ANZA ST, San Francisco, CA 94121",1,6075,SAN FRANCISCO,"CA
(37.777069, -122.496887)",26,55,11,6,2,,"CA (37.777069, -122.496887)"
Woodside International School,Private,9,12,12-Sep,Independent / Private,IND338,14,17,IND,3.87E+13,"1555 IRVING ST, SAN FRANCISCO, CA 94122",5,6075,SAN FRANCISCO,"CA
(37.763432, -122.474747)",12,56,1,8,11,,"CA (37.763432, -122.474747)"
Faces Sf Child Development Program - Haight Ashbury/Masonic,Private,-2,-1,PK,Independent / Private,CDC037,3,4,CDC,384002201,"1101 MASONIC AVE, SAN FRANCISCO, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.770889, -122.445869)",9,"29,492",15,5,11,,"CA (37.770889, -122.445869)"
Mission Neighborhood Centers - Capp Head Start,Private,-2,-1,PK,Independent / Private,CDC100,3,4,CDC,380505268,"362 CAPP ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.760986, -122.418495)",19,"28,859",2,4,7,,"CA (37.760986, -122.418495)"
Mission Neighborhood Centers - Jean Jacobs,Private,-2,-1,PK,Independent / Private,CDC102,3,4,CDC,384001206,"459 VIENNA ST, SAN FRANCISCO, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.720951, -122.429695)",5,"28,861",9,7,6,,"CA (37.720951, -122.429695)"
"Jordan, June Jordan High School",SFUSD,9,12,12-Sep,USD Grades 9-12,PS053,14,17,PS,3.87E+13,"325 LA GRANDE AVE, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.719536, -122.425148)",18,309,9,7,6,,"CA (37.719536, -122.425148)"
City College of San Francisco Gough Street Location,SFCCD,13,14,13-14,Community College District,CC06,18,19,CC,,"33 GOUGH ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.771988, -122.421211)",19,"28,853",8,2,9,,"CA (37.771988, -122.421211)"
"Muir, John Muir Elementary / Early Education",SFUSD,-2,5,PK-5,"USD PreK, Grades K-5",PS083,3,10,PS,3.87E+13,"380 WEBSTER ST, San Francisco, CA 94102",5,6075,SAN FRANCISCO,"CA
(37.773758, -122.42868)",10,"28,852",7,9,11,,"CA (37.773758, -122.42868)"
"O'Connell, John O'Connell High School",SFUSD,9,12,12-Sep,USD Grades 9-12,PS086,14,17,PS,3.87E+13,"2355 FOLSOM ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.759514, -122.413559)",19,"28,859",2,4,7,,"CA (37.759514, -122.413559)"
Saint Charles School,Private,0,8,K-8,Independent / Private,IND293,5,13,IND,3.87E+13,"376 SHOTWELL ST, SAN FRANCISCO, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.762322, -122.416443)",19,"28,859",8,4,7,,"CA (37.762322, -122.416443)"
Friends Of Potrero Hill Preschool,Private,-2,-1,PK,Independent / Private,CDC040,3,4,CDC,384002303,"1060 TENNESSEE ST STE A, SAN FRANCISCO, CA 94107",10,6075,SAN FRANCISCO,"CA
(37.75856, -122.389587)",29,"28,856",10,3,8,,"CA (37.75856, -122.389587)"
"Parks, Rosa Parks Japanese Bilingual Bicultural Program / Weill, Raphael Weill  Early Education",SFUSD,0,5,K-5,"USD Grades K-5, PreK-5",PS089,5,10,PS,3.87E+13,"1501 OFARRELL ST, San Francisco, CA 94115",5,6075,SAN FRANCISCO,"CA
(37.783009, -122.429504)",41,"29,490",7,9,11,,"CA (37.783009, -122.429504)"
Angelinas Preschool,Private,-2,-1,PK,Independent / Private,CDC004,3,4,CDC,384001103,"1851 NORIEGA ST, SAN FRANCISCO, CA 94122",4,6075,SAN FRANCISCO,"CA
(37.753666, -122.483765)",35,56,1,8,3,,"CA (37.753666, -122.483765)"
Wu Yee Child Development Center - Golden Gate,Private,-2,-1,PK,Independent / Private,CDC160,3,4,CDC,380506088,"177 GOLDEN GATE AVE, SAN FRANCISCO, CA 94102",6,6075,SAN FRANCISCO,"CA
(37.78167, -122.413559)",36,"28,852",7,10,9,,"CA (37.78167, -122.413559)"
"Brown, Willie Brown Jr Middle School",SFUSD,6,8,8-Jun,USD Grades 6-8,PS008,11,13,PS,3.87E+13,"2055 SILVER AVE, San Francisco, CA 94124",10,6075,SAN FRANCISCO,"CA
(37.736477, -122.399574)",1,58,10,3,8,,"CA (37.736477, -122.399574)"
"Chavez, Cesar Chavez Elementary School / Preschool",SFUSD,-2,5,PK-5,USD PreK-5,PS015,3,10,PS,3.87E+13,"825 SHOTWELL ST, San Francisco, CA 94110",9,6075,SAN FRANCISCO,"CA
(37.754921, -122.414879)",19,"28,859",2,4,7,,"CA (37.754921, -122.414879)"
"Feinstein, Dianne Feinstein Elementary School",SFUSD,0,5,K-5,USD Grades K-5,PS031,5,10,PS,3.87E+13,"2550 25TH AVE, San Francisco, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.739685, -122.481369)",35,"29,491",1,8,3,,"CA (37.739685, -122.481369)"
Monroe Elementary / Excelsior Monroe Early Education,SFUSD,0,5,K-5,USD Grades K-5,PS081,5,10,PS,3.87E+13,"260 MADRID ST, San Francisco, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.725399, -122.430489)",5,"28,861",9,7,6,,"CA (37.725399, -122.430489)"
Alt School - Soma,Private,6,8,8-Jun,Independent / Private,IND207,11,13,IND,3.87E+13,"1245 FOLSOM ST, SAN FRANCISCO, CA 94103",6,6075,SAN FRANCISCO,"CA
(37.774181, -122.410484)",34,"28,853",8,2,9,,"CA (37.774181, -122.410484)"
Chinese Immersion School At Deavila,SFUSD,0,4,K-4,USD Grades K-4,PS018,5,9,PS,3.87E+13,"1250 WALLER ST, San Francisco, CA 94117",5,6075,SAN FRANCISCO,"CA
(37.769829, -122.444275)",9,"29,492",15,5,11,,"CA (37.769829, -122.444275)"
Living Hope Christian School,Private,0,12,K-12,Independent / Private,IND268,5,17,IND,,"1209 GENEVA AVE, SAN FRANCISCO, CA 94112",11,6075,SAN FRANCISCO,"CA
(37.714336, -122.435829)",5,"28,861",9,7,6,,"CA (37.714336, -122.435829)"
Happy Times Nursery School,Private,-2,-1,PK,Independent / Private,CDC052,3,4,CDC,380503588,"1090 QUINTARA ST, SAN FRANCISCO, CA 94116",4,6075,SAN FRANCISCO,"CA
(37.748856, -122.476791)",35,"29,491",1,8,3,,"CA (37.748856, -122.476791)"
