property_name,longitude,latitude,UTM_Easting,UTM_Northing
Holly Park,-122.41995329,37.73721401,551107.9616492423,4176817.359810193
Golden Gate Heights Park,-122.46941641,37.749991,546741.6932427075,4178209.0932748104
Billy Goat Hill,-122.43321192,37.74141293,549936.9121366662,4177276.0677913874
Bay View Park,-122.39251458,37.71518495,553541.4679478952,4174388.6038502157
Hawk Hill,-122.46874625,37.74659138,546802.8724086762,4177832.2453674627
Joseph L. Alioto Performing Arts Piazza,-122.41761127,37.77948576,551285.1268585424,4181508.647775336
Wash. & Hyde MP,-122.41741052,37.79400105,551292.7711160983,4183119.2219327074
Geneva Carbarn,-122.44674949,37.72021667,548758.0705321414,4174917.2425840367
Buchanan St Mall,-122.42858096,37.77951424,550319.1089679492,4181505.848710071
John McLaren Park,-122.41908038,37.718096980000006,551198.033900004,4174696.8332403
Mullen & Peralta Mini Park,-122.40882028,37.74608143,552082.6870050284,4177807.3250400843
Tank Hill,-122.44768322,37.7599425,548649.7735848086,4179324.2770229396
Louis Sutter Playground,-122.41393339,37.7224796,551648.6131525048,4175185.9036225243
Coso & Precita Mini Park,-122.41813353,37.74624859,551262.0710611794,4177820.7293263436
Rolph Nicol Playground,-122.48054619,37.73063451,545773.1275866578,4176056.0224959566
Pine Lake Park,-122.48593875,37.73631415,545294.4837047692,4176683.5454580574
Potrero del Sol,-122.40509795,37.75060722,552407.4338314283,4178311.5341369235
St. Mary's Rec Center,-122.42067123,37.73367487,551047.1333153287,4176424.3057463854
Sunnyside Conservatory,-122.44078012,37.73192942,549276.3953225514,4176219.8764166795
Topaz Open Space,-122.43616701,37.741712320000005,549676.3514565546,4177307.712234753
Alice Marble Courts,-122.42009519,37.80146337,551051.2674350635,4183945.6944524585
Dorothy Erskine Park,-122.43945927,37.73391837,549391.4634583889,4176441.243225137
Aptos Playground,-122.46657164,37.72852771,547005.8748396009,4175829.200898676
Connecticut Friendship Garden,-122.39730975,37.75740481,553088.6781415613,4179070.1099080564
Arkansas Friendship Garden,-122.39765273,37.75736361,553058.4954908002,4179065.3442612775
Potrero Hill Mini Park,-122.3966674,37.75740062,553145.2638211638,4179070.0096852747
Duncan & Castro Open Space,-122.43340907,37.74597219,549916.4799620152,4177781.8061845885
Head & Brotherood Mini Park,-122.46423249,37.71263119,547222.0933290614,4174066.690227277
Balboa Park,-122.44462514,37.72495974,548942.170378036,4175444.585665951
Bernal Heights Rec Center,-122.41617543,37.73845177,551439.975619199,4176956.7568279705
Cabrillo Playground,-122.49871358,37.77287238,544147.1438724417,4180733.5225143256
Turk & Hyde Mini Park,-122.4159536,37.78273207,551428.8530906746,4181869.734229452
Upper Noe Rec Center,-122.42784323,37.74243925,550409.2289444554,4177392.8143507014
Fallen Bridge Mini Park,-122.40606709,37.76232205,552313.8073333044,4179610.740321812
Washington Square,-122.41005302,37.80083622,551935.7655006892,4183881.644304389
Everson & Digby Lots,-122.43179489,37.73809212,550063.9972150233,4176908.3856969466
Joseph Lee Rec Center,-122.3897433,37.73473606,553771.5833546754,4176559.3576749465
Woh Hei Yuen Playground,-122.41033816,37.79585942,551914.1460615308,4183329.311231581
Selby & Palou Mini Park,-122.40039427,37.73887303,552830.1451166607,4177012.2844724064
Saturn Street Steps,-122.44054696,37.76272603,549276.515821026,4179636.8412399767
Little Hollywood Park,-122.39823747,37.70999032,553040.7721457962,4173809.0127314427
Rocky Outcrop,-122.47087844,37.75384715,546610.4759172226,4178636.198446783
Ridgetop Plaza,-122.38350986,37.73391458,554321.4363484762,4176471.814262479
Adam Rodgers Park,-122.38386381,37.73101787,554292.3631841926,4176150.2228756496
Alioto Mini Park,-122.41821465,37.75888932,551246.2050927116,4179223.1593487766
Michelangelo Playground,-122.41691652,37.80112112,551331.3373570064,4183909.462682138
Allyne Park,-122.42758433,37.797448470000006,550394.6915556091,4183496.178807982
Hilltop Park,-122.38350381,37.73293151,554322.6876916804,4176362.747463889
Richmond Rec Center,-122.47798997,37.78327503,545965.7951676346,4181897.66991587
Richmond Playground,-122.4781249,37.78513522,545952.7619701172,4182103.99011743
McCoppin Square,-122.48009851,37.7438434,545804.4373093485,4177521.7449710425
Coleridge Mini Park,-122.41965561,37.74441806,551129.2349285107,4177616.80180118
Cottage Row Mini Park,-122.43232104,37.78656476,549985.0064970173,4182286.0935549173
Jefferson Square,-122.42567952,37.78180437,550573.05125989,4181761.502200645
Esprit Park,-122.39100688,37.76099117,553641.2892214251,4179471.6082169656
Excelsior Playground,-122.43324049,37.720348990000005,549948.5421162995,4174939.0427303934
Father Alfred Boeddeker Park,-122.41208747,37.784386520000005,551768.1384195619,4182055.4278062875
Ina Coolbrith Park,-122.41339661,37.7981701,551643.2674279739,4183583.986506228
J.P. Murphy Playground,-122.4650326,37.75180377,547126.7375183385,4178412.4161541113
Fay Park,-122.41788656,37.80291182,551244.7025725537,4184107.608197967
Palou & Phelps Park,-122.39474893,37.73552432,553329.9523848487,4176643.950660615
Eugene Friend Rec Center,-122.40634866,37.77863923,552277.5168617852,4181420.961693699
Gilman Playground,-122.38806931,37.71722092,553931.7850899112,4174617.0418804334
Golden Gate & Steiner Mini Park,-122.43348704,37.77957209,549887.0375641085,4181509.6387414862
Japantown Peace Plaza,-122.42976491,37.78522059,550210.9890019065,4182138.3281664453
Brooks Park,-122.46679189,37.71728548,546993.5685006122,4174581.786702597
Grattan Playground,-122.45148972,37.762598190000006,548312.7552770103,4179616.9503347413
Chestnut & Kearny Open Space,-122.40711737,37.80464044,552191.5295145139,4184305.357032975
Hamilton Rec Center,-122.43601635,37.78442364,549661.0588783169,4182046.5686795576
Hayes Valley Playground,-122.42740647,37.77606887,550424.8756431503,4181124.219988765
Helen Wills PG,-122.42065279,37.79579519,551006.0767906363,4183316.5072064814
Jackson Playground,-122.39962279,37.76431708,552880.0081764702,4179835.7101666844
Jose Coronado Playground,-122.41511679,37.75753089,551520.0227004606,4179074.14418495
Junipero Serra Playground,-122.47386448,37.72481504,546365.537442051,4175413.650924054
Kelloch & Velasco Mini Park,-122.41315618,37.70853932,551726.798506296,4173639.6838495173
Kid Power Park,-122.42031034,37.76415832,551057.9838538099,4179806.6039012005
Koshland Park,-122.42677179,37.77327033,550482.6714991275,4180814.066528529
White Crane Springs,-122.46316869,37.75662603,547287.8662895707,4178948.3797619063
Cayuga Playground,-122.45035425,37.71389148,548444.4984790653,4174213.6044716397
Joe DiMaggio Playground,-122.41216884,37.80249695,551748.3396910343,4184064.728508926
Shoreview Park,-122.38106567,37.73186263,554538.3110234134,4176245.5741945263
Heron's Head Park,-122.375717,37.73986494,555003.7008653617,4177136.5498397327
Douglass Playground,-122.43892205,37.74729064,549429.9072897584,4177925.160420904
Lafayette Park,-122.42768677,37.79155487,550389.6756863259,4182842.231107061
Glen Canyon Park,-122.44268074,37.74017042,549103.4750120019,4177133.203696429
States Street Playground,-122.43786447,37.76379644,549512.077355201,4179757.0183692775
Interior Greenbelt,-122.4537706,37.75934728,548113.9596995899,4179255.0902632065
Parkside Square,-122.48393354,37.73797859,545470.1480639986,4176869.184276715
James Rolph Jr. Playground,-122.40624443,37.74973246,552307.0504229573,4178213.839077956
Portola Open Space,-122.44407264,37.74707923,548976.2857486317,4177898.9969351394
Golden Gate Park - Section 7,-122.46075895,37.76845534,547492.5701069605,4180262.048448058
Golden Gate Park - Section 5,-122.49130313,37.76940891,544801.8592319638,4180352.7779137813
Golden Gate Park - Section 1,-122.45529391,37.77139097,547971.9995362691,4180590.542298548
Golden Gate Park - Section 2,-122.46603321,37.77090391,547026.4961257064,4180531.0500636585
Golden Gate Park - Section 3,-122.47039125,37.76726835,546644.9641011414,4180125.5066093123
Golden Gate Park - Section 4,-122.4790922,37.76889364,545877.6237989442,4180301.5278182733
Golden Gate Park - Section 6,-122.50423848,37.7677299,543663.5993888166,4180160.3773336345
